institution_code,seed_url,seed_type,evidence_url,verification_status
CSMZ,https://www.csmzxy.edu.cn/,official_home,https://www.csmzxy.edu.cn/,verified
CSMZ,https://jwc.csmzxy.edu.cn/zyjs.htm,official_professional_construction,https://jwc.csmzxy.edu.cn/,verified
CSMZ,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,official_2025_training_plan_index,https://jwc.csmzxy.edu.cn/,verified
CSMZ,https://www.moe.gov.cn/jyb_xwfb/s5147/202512/t20251218_1423785.html,official_second_phase_group_membership,https://www.moe.gov.cn/,verified
CSMZ,https://jyt.hunan.gov.cn/jyt/sjyt/xxgk/gzdt/zwdt/202512/t20251224_1172094.html,official_second_phase_school_status,https://jyt.hunan.gov.cn/,verified
CSMZ,https://job.csmzxy.edu.cn/attachment/csmzxy/ueditor/file/20240228/3457_2024%E6%AF%95%E4%B8%9A%E7%94%9F%E4%BF%A1%E6%81%AF%E6%89%8B%E5%86%8C.pdf,official_group_and_major_structure,https://job.csmzxy.edu.cn/,verified
CSMZ,https://pan.csmzxy.edu.cn/link/B2548C95215155F2285C89DB3FC0F8F0,official_2025_plan_modern_funeral,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/02B529A685D9A4D91BCF1EA4C72ACBC8,official_2025_plan_cemetery_service,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/37D16C7D7980D081A20F4BACAFA52435,official_2025_plan_funeral_equipment,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/77C345A53EB60F905E2706951EA4C638,official_2025_plan_clinical_medicine,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/F6B8446BD09F18B1CC1794619F03F351,official_2025_plan_smart_elderly_care,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/29F3A65D9F406C291F45B4C375C6BA9E,official_2025_plan_rehabilitation,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/E396CD9F28DE081DE5F564741B0D3341,official_2025_plan_nursing,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/350F894AFAA0A02C429EEB99FC0365AF,official_2025_plan_computer_network_interactive_media,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
CSMZ,https://pan.csmzxy.edu.cn/link/B59C2B34F6285B323FCE0CD647798FBC,official_2025_plan_computer_network_cloud_network,https://jwc.csmzxy.edu.cn/info/1023/4362.htm,verified
