institution_code,province,institution_name,official_domain,aliases
SXJD,山西,山西机电职业技术学院,https://www.sxjdxy.edu.cn,山西机电
HNZJ,河南,河南职业技术学院,https://hnzj.edu.cn,河南职院|河职
WZVTC,浙江,温州职业技术学院,https://jwc.wzvtc.cn,温职院|温州职业技术大学
HNPI,河南,河南工业职业技术学院,https://www.hnpi.edu.cn,河南工业职业技术大学|河工院
BITC,北京,北京信息职业技术学院,https://bitc.edu.cn,北信职院|北信
HNCC,河南,河南交通职业技术学院,https://hncc.edu.cn,河南交院|河南交通职院
BGY,北京,北京工业职业技术学院,https://bgy.edu.cn,北工院
TJMVTC,天津,天津现代职业技术学院,https://tjmvtc.edu.cn,天津现代职院|现代学院
TJMC,天津,天津海运职业学院,https://tjmc.edu.cn,天津海运职院|天津海运
TJEIC,天津,天津电子信息职业技术学院,https://tjdz.edu.cn,天津电子信息职院|津电
CZIMT,江苏,常州机电职业技术学院,https://czimt.edu.cn,常州机电|常机电
TJTC,天津,天津职业大学,https://tjtc.edu.cn,天津市职业大学|天职
ZFC,浙江,浙江金融职业学院,https://www.zfc.edu.cn,浙江金融职院|浙金院
ZIME,浙江,浙江机电职业技术大学,https://www.zime.edu.cn,浙江机电职院|浙江机电职业技术学院|浙机电
ZJTIE,浙江,浙江经济职业技术学院,https://www.zjtie.edu.cn,浙江经济职院|浙经职院
ZJITC,浙江,浙江工贸职业技术学院,https://zjitc.edu.cn,浙江工贸职院|浙工贸
ZJBC,浙江,浙江商业职业技术学院,https://www.zjbc.edu.cn,浙商院|浙江商业职院
WZVCST,浙江,温州科技职业学院,https://www.wzvcst.edu.cn,温科院|温州科技职院
ZJIET,浙江,浙江经贸职业技术学院,https://www.zjiet.edu.cn,浙江经贸职院|浙经贸
TCZJ,浙江,浙江旅游职业学院,https://www.tourzj.edu.cn,浙旅院|TCZJ
ZJVTIT,浙江,浙江交通职业技术学院,https://www.zjvtit.edu.cn,浙江交院|浙交院
ZJJS,浙江,浙江建设职业技术学院,https://www.zjjs.edu.cn,浙江建院|浙江建设职院
